Site ID,DBN,Site Name,Site Street Address,Site Zip Code,Address,ECERS Most Recent Assessment Year,ECERS Observation Average Score
K308,16K308,P.S. 308 CLARA CARDWELL,616 QUINCY STREET,11221,616 QUINCY STREET 11221,FY13,2.6
K066,18K066,P.S. 66,845 EAST 96 STREET,11236,845 EAST 96 STREET 11236,FY13,2.6
X029,07X029,P.S./M.S. 029 MELROSE SCHOOL,758 COURTLANDT AVENUE,10451,758 COURTLANDT AVENUE 10451,FY13,2.6
XAOS,10X700,RIVERDALE MONTESSORI SCHOOL,5705 MOSHOLU AVENUE,10471,5705 MOSHOLU AVENUE 10471,FY14,2.6
X300,12X300,THE SCHOOL OF SCIENCE AND APPLIED LEARNING,2050 PROSPECT AVENUE,10457,2050 PROSPECT AVENUE 10457,FY13,2.6
XAMB,10X700,TRABAJAMOS COMMUNITY HEAD START,2167 UNIVERSITY AVENUE,10453,2167 UNIVERSITY AVENUE 10453,FY14,2.6
KBMZ,15K700,WARREN STREET CENTER,343 WARREN STREET,11201,343 WARREN STREET 11201,FY13,2.6
XAJF,12X700,BRIGHTSIDE ACADEMY - LOUIS NINE,1336 LOUIS NINE BOULEVARD,10459,1336 LOUIS NINE BOULEVARD 10459,FY15,2.7
KCHU,22K700,INFINITY UPK OF GERRITSEN AVENUE,2934-2936 GERRITSEN AVENUE,11229,2934-2936 GERRITSEN AVENUE 11229,FY15,2.7
XAOT,10X700,KINGSBRIDGE HEIGHTS COMMUNITY CENTER,3101 KINGSBRIDGE TERRACE,10463,3101 KINGSBRIDGE TERRACE 10463,FY14,2.7
R016,31R016,P.S. 016 JOHN J. DRISCOLL,80 MONROE AVENUE,10301,80 MONROE AVENUE 10301,FY13,2.7
M046,05M046,P.S. 046 ARTHUR TAPPAN,2987 FREDERICK DGLS BLVD,10039,2987 FREDERICK DGLS BLVD 10039,FY13,2.7
K052,22K052,P.S. 052 SHEEPSHEAD BAY,2675 EAST 29 STREET,11235,2675 EAST 29 STREET 11235,FY15,2.7
K115,18K115,P.S. 115 DANIEL MUCATEL SCHOOL,1500 EAST 92 STREET,11236,1500 EAST 92 STREET 11236,FY15,2.7
K326,22K326,P.S. 326,1800 UTICA AVENUE,11234,1800 UTICA AVENUE 11234,FY15,2.7
KBKY,17K700,THE INFANT AND CHILD LEARNING CENTER,670 PARKSIDE AVENUE,11226,670 PARKSIDE AVENUE 11226,FY15,2.7
MAVS,04M700,"BOYS & GIRLS HARBOR, INC.",1 EAST 104TH STREET,10029,1 EAST 104TH STREET 10029,FY13,2.8
KBTH,16K700,BRIGHTSIDE ACADEMY - DEKALB AVE,844 DEKALB AVENUE,11221,844 DEKALB AVENUE 11221,FY14,2.8
RAFH,31R700,"CASTLE DAY CARE II, INC.",211 CANAL STREET,10304,211 CANAL STREET 10304,FY14,2.8
MATO,01M700,DEWITT REFORMED CHURCH HEAD START,280 RIVINGTON STREET,10002,280 RIVINGTON STREET 10002,FY15,2.8
XANV,09X700,HIGHBRIDGE ADVISORY COUNCIL DORIS E. STONE DAY CARE,1165 UNIVERSITY AVENUE,10452,1165 UNIVERSITY AVENUE 10452,FY13,2.8
XAKH,09X700,LABOR BATHGATE COMMUNITY CCC,1638 ANTHONY AVENUE,10457,1638 ANTHONY AVENUE 10457,FY13,2.8
R038,31R038,P.S. 038 GEORGE CROMWELL,421 LINCOLN AVENUE,10306,421 LINCOLN AVENUE 10306,FY13,2.8
M092,05M092,P.S. 092 MARY MCLEOD BETHUNE,222 WEST 134 STREET,10030,222 WEST 134 STREET 10030,FY15,2.8
