Site ID,Site Name,Site Street Address,Site Zip Code,Full Address,ECERS Most Recent Assessment Year,ECERS Observation Average Score
XAPU,NORTH BRONX NCNW CDC,4035 WHITE PLAINS ROAD,10466,4035 WHITE PLAINS ROAD 10466,FY15,2.9
QBJJ,NORTH SIDE SCHOOL,85-27 91ST STREET,11421,85-27 91ST STREET 11421,FY15,3.8
XAHM,NORTHEAST BRONX DAY CARE CENTER (SUSAN WAGNER),5401 POST ROAD,10471,5401 POST ROAD 10471,FY14,3.1
MAXM,NORTHERN MANHATTAN HEAD START,529 WEST 155 STREET,10032,529 WEST 155 STREET 10032,FY15,4.3
MAWI,NORTHSIDE CENTER DAY SCHOOL,302-306 EAST 111TH STREET,10029,302-306 EAST 111TH STREET 10029,FY15,4.7
KBLL,NORTHSIDE CENTER FOR CHILD DEVELOPMENT,44-60 ROCKWELL PLACE,11201,44-60 ROCKWELL PLACE 11201,FY14,5
QASJ,NORTHSIDE SCHOOL,84-60 PARSONS BLVD,11432,84-60 PARSONS BLVD 11432,FY15,4.5
XALE,NP READY SET LEARN,830 FOX STREET,10459,830 FOX STREET 10459,FY15,4.1
KBVD,NUESTROS NINOS DCC III,161 SOUTH 3RD STREET,11211,161 SOUTH 3RD STREET 11211,FY14,3.8
KBPT,NYL- WILLIAM O'CONNOR,420 95TH STREET,11209,420 95TH STREET 11209,FY14,4.2
KAUK,NYL/WOC MIDWOOD,1520 EAST 13TH STREET,11230,1520 EAST 13TH STREET 11230,FY15,4.2
QBHQ,OHR OSHER AND YAFFA 75,75-21 MAIN ST,11367,75-21 MAIN ST 11367,FY15,5.1
QAVO,OMEGA PSI PHI FRATERNITY,12310 143RD STREET,11436,12310 143RD STREET 11436,FY15,4.7
QAVP,ON OUR WAY LEARNING CENTER,264 BEACH 19 STREET,11691,264 BEACH 19 STREET 11691,FY14,4.6
MAVN,OPEN DOOR CCC,820 COLUMBUS AVENUE,10025,820 COLUMBUS AVENUE 10025,FY15,3.2
KBWT,OUR CHILDREN THE LEADERS OF TOMORROW 1,756 MYRTLE AVENUE,11206,756 MYRTLE AVENUE 11206,FY14,2.5
KBOA,OUR CHILDREN'S CENTER,300 JAY STREET ROOM G309,11201,300 JAY STREET ROOM G309 11201,FY15,5.4
QBBE,OUR KIDS PLACE COUNTRY DAY,137-25 BROOKVILLE BLVD.,11422,137-25 BROOKVILLE BLVD. 11422,FY15,4.2
XACK,OUR LADY OF GRACE SCHOOL,3981 BRONXWOOD AVE,10466,3981 BRONXWOOD AVE 10466,FY15,4.1
RABC,OUR LADY OF MOUNT CARMEL ST. BENEDICTA,285 CLOVE ROAD,10310,285 CLOVE ROAD 10310,FY15,4.6
KCHQ,P B CHILDREN'S ACADEMY,4112 AVE D,11203,4112 AVE D 11203,FY15,4.6
Q062,P. S. 62 - CHESTER PARK SCHOOL,97-25 108 STREET,11419,97-25 108 STREET 11419,FY15,5
X001,P.S. 001 COURTLANDT SCHOOL,335 EAST 152 STREET,10451,335 EAST 152 STREET 10451,FY15,3.3
K003,P.S. 003 THE BEDFORD VILLAGE,50 JEFFERSON AVENUE,11216,50 JEFFERSON AVENUE 11216,FY15,3.9
R003,P.S. 003 THE MARGARET GIOIOSA SCHOOL,80 SOUTH GOFF AVENUE,10309,80 SOUTH GOFF AVENUE 10309,FY15,4.3
K005,P.S. 005 DR. RONALD MCNAIR,820 HANCOCK STREET,11233,820 HANCOCK STREET 11233,FY15,3.4
M005,P.S. 005 ELLEN LURIE,3703 TENTH AVENUE,10034,3703 TENTH AVENUE 10034,FY15,3.3
M008,P.S. 008 LUIS BELLIARD,465 WEST 167 STREET,10032,465 WEST 167 STREET 10032,FY15,4.1
K017,P.S. 017 HENRY D. WOODWORTH,208 NORTH 5 STREET,11211,208 NORTH 5 STREET 11211,FY15,2.3
X018,P.S. 018 JOHN PETER ZENGER,502 MORRIS AVENUE,10451,502 MORRIS AVENUE 10451,FY15,2
Q020,P.S. 020 JOHN BOWNE,142-30 BARCLAY AVENUE,11355,142-30 BARCLAY AVENUE 11355,FY15,3.6
K024,P.S. 024,427 38 STREET,11232,427 38 STREET 11232,FY15,3.8
K029,P.S. 029 JOHN M. HARRIGAN,425 HENRY STREET,11201,425 HENRY STREET 11201,FY15,3.5
K032,P.S. 032 SAMUELS MILLS SPROLE,317 HOYT STREET,11231,317 HOYT STREET 11231,FY15,4.6
R036,P.S. 036 J. C. DRUMGOOLE,255 IONIA AVENUE,10312,255 IONIA AVENUE 10312,FY15,4.7
M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,319 EAST 19 STREET,10003,319 EAST 19 STREET 10003,FY15,4.7
Q040,P.S. 040 SAMUEL HUNTINGTON,109-20 UNION HALL STREET,11433,109-20 UNION HALL STREET 11433,FY15,1.9
M042,P.S. 042 BENJAMIN ALTMAN,71 HESTER STREET,10002,71 HESTER STREET 10002,FY15,4.4
R044,P.S. 044 THOMAS C. BROWN,80 MAPLE PARKWAY,10303,80 MAPLE PARKWAY 10303,FY15,3.7
Q045,P.S. 045 CLARENCE WITHERSPOON,126-28 150 STREET,11436,126-28 150 STREET 11436,FY15,3.9
K045,P.S. 045 HORACE E. GREENE,84 SCHAEFER STREET,11207,84 SCHAEFER STREET 11207,FY15,3.6
R045,P.S. 045 JOHN TYLER,58 LAWRENCE AVENUE,10310,58 LAWRENCE AVENUE 10310,FY15,4.6
Q048,P.S. 048 WILLIAM WORDSWORTH,108-29 155 STREET,11433,108-29 155 STREET 11433,FY15,5
Q050,P.S. 050 TALFOURD LAWN ELEMENTARY SCHOOL,143-26 101 AVENUE,11435,143-26 101 AVENUE 11435,FY15,2.3
X051,P.S. 051 BRONX NEW SCHOOL,695 EAST 182ND STREET,10457,695 EAST 182ND STREET 10457,FY15,3.9
M051,P.S. 051 ELIAS HOWE,525 WEST 44TH STREET,10036,525 WEST 44TH STREET 10036,FY14,3.8
K052,P.S. 052 SHEEPSHEAD BAY,2675 EAST 29 STREET,11235,2675 EAST 29 STREET 11235,FY15,2.7
X055,P.S. 055 BENJAMIN FRANKLIN,450 SAINT PAUL'S PLACE,10456,450 SAINT PAUL'S PLACE 10456,FY15,4
K056,P.S. 056 LEWIS H. LATIMER,170 GATES AVENUE,11238,170 GATES AVENUE 11238,FY15,3.9
X058,P.S. 058,459 EAST 176 STREET,10457,459 EAST 176 STREET 10457,FY15,3.8
R059,P.S. 059 THE HARBOR VIEW SCHOOL,300 RICHMOND TERRACE,10301,300 RICHMOND TERRACE 10301,FY14,4.5
X063,P.S. 063 AUTHOR'S ACADEMY,1260 FRANKLIN AVENUE,10456,1260 FRANKLIN AVENUE 10456,FY15,3.5
Q063,P.S. 063 OLD SOUTH,90-15 SUTTER AVENUE,11417,90-15 SUTTER AVENUE 11417,FY15,4.7
M064,P.S. 064 ROBERT SIMON,600 EAST 6 STREET,10009,600 EAST 6 STREET 10009,FY15,3
X065,P.S. 065 MOTHER HALE ACADEMY,677 EAST 141 STREET,10454,677 EAST 141 STREET 10454,FY15,2
X066,P.S. 066 SCHOOL OF HIGHER EXPECTATIONS,1001 JENNINGS STREET,10460,1001 JENNINGS STREET 10460,FY15,4.6
K067,P.S. 067 CHARLES A. DORSEY,51 SAINT EDWARDS STREET,11205,51 SAINT EDWARDS STREET 11205,FY15,3.9
R069,P.S. 069 DANIEL D. TOMPKINS,144 KEATING PLACE,10314,144 KEATING PLACE 10314,FY15,3.8
X072,P.S. 072 DR. WILLIAM DORNEY,2951 DEWEY AVENUE,10465,2951 DEWEY AVENUE 10465,FY15,3.4
X073,P.S. 073 BRONX,1020 ANDERSON AVENUE,10452,1020 ANDERSON AVENUE 10452,FY15,3.6
Q078,P.S. 078,48-09 CENTER BOULEVARD,11109,48-09 CENTER BOULEVARD 11109,FY15,5.1
X078,P.S. 078 ANNE HUTCHINSON,1400 NEEDHAM AVENUE,10469,1400 NEEDHAM AVENUE 10469,FY15,4
Q080,P.S. 080 THURGOOD MARSHALL MAGNET,171-05 137 AVENUE,11434,171-05 137 AVENUE 11434,FY15,4.9
K084,P.S. 084 JOSE DE DIEGO,250 BERRY STREET,11211,250 BERRY STREET 11211,FY15,2.5
M087,P.S. 087 WILLIAM SHERMAN,160 WEST 78 STREET,10024,160 WEST 78 STREET 10024,FY15,2.9
Q088,P.S. 088 SENECA,60-85 CATALPA AVENUE,11385,60-85 CATALPA AVENUE 11385,FY15,5.4
Q091,P.S. 091 RICHARD ARKWRIGHT,68-10 CENTRAL AVE,11385,68-10 CENTRAL AVE 11385,FY14,5.2
K092,P.S. 092 ADRIAN HEGEMAN,601 PARKSIDE AVENUE,11226,601 PARKSIDE AVENUE 11226,FY15,3.2
X092,P.S. 092 BRONX,700 EAST 179 STREET,10457,700 EAST 179 STREET 10457,FY15,3.2
M092,P.S. 092 MARY MCLEOD BETHUNE,222 WEST 134 STREET,10030,222 WEST 134 STREET 10030,FY15,2.8
Q096,P.S. 096,130-01 ROCKAWAY BOULEVARD,11420,130-01 ROCKAWAY BOULEVARD 11420,FY15,4.4
Q097,P.S. 097 FOREST PARK,85-52 85 STREET,11421,85-52 85 STREET 11421,FY15,4.6
M098,P.S. 098 SHORAC KAPPOCK,512 WEST 212 STREET,10034,512 WEST 212 STREET 10034,FY15,4.4
Q104,P.S. 104 THE BAYS WATER,26-01 MOTT AVENUE,11691,26-01 MOTT AVENUE 11691,FY15,5.1
Q106,P.S. 106,180 BEACH 35 STREET,11691,180 BEACH 35 STREET 11691,FY14,3.2
X107,P.S. 107,1695 SEWARD AVENUE,10473,1695 SEWARD AVENUE 10473,FY15,4.1
Q107,P.S. 107 THOMAS A DOOLEY,167-02 45 AVENUE,11358,167-02 45 AVENUE 11358,FY15,5
K109,P.S. 109,1001 EAST 45 STREET,11203,1001 EAST 45 STREET 11203,FY15,5.3
R011,P.S. 11 THOMAS DONGAN SCHOOL,50 JEFFERSON STREET,10304,50 JEFFERSON STREET 10304,FY15,3.9
Q111,P.S. 111 JACOB BLACKWELL,37-15 13 STREET,11101,37-15 13 STREET 11101,FY15,5.6
X111,P.S. 111 SETON FALLS,3740 BAYCHESTER AVENUE,10466,3740 BAYCHESTER AVENUE 10466,FY15,2.8
Q112,P.S. 112 DUTCH KILLS,25-05 37 AVENUE,11101,25-05 37 AVENUE 11101,FY14,4.8
K114,P.S. 114 RYDER ELEMENTARY,1077 REMSEN AVENUE,11236,1077 REMSEN AVENUE 11236,FY15,3.9
K115,P.S. 115 DANIEL MUCATEL SCHOOL,1500 EAST 92 STREET,11236,1500 EAST 92 STREET 11236,FY15,2.7
M116,P.S. 116 MARY LINDLEY MURRAY,210 EAST 33 STREET,10016,210 EAST 33 STREET 10016,FY15,3.8
Q117,P.S. 117 J. KELD / BRIARWOOD SCHOOL,85-15 143 STREET,11435,85-15 143 STREET 11435,FY15,5.6
K118,P.S. 118 MAURICE SENDAK SCHOOL,211 8TH STREET,11215,211 8TH STREET 11215,FY14,3.5
K119,P.S. 119 AMERSFORT,3829 AVENUE K,11210,3829 AVENUE K 11210,FY15,3.8
Q120,P.S. 120 QUEENS,58-01 136 STREET,11355,58-01 136 STREET 11355,FY15,3.9
K121,P.S. 121 NELSON A. ROCKEFELLER,5301 20 AVENUE,11204,5301 20 AVENUE 11204,FY15,3.3
X121,P.S. 121 THROOP,2750 THROOP AVENUE,10469,2750 THROOP AVENUE 10469,FY15,2.9
Q123,P.S. 123,145-01 119 AVENUE,11436,145-01 119 AVENUE 11436,FY15,3
K123,P.S. 123 SUYDAM,100 IRVING AVENUE,11237,100 IRVING AVENUE 11237,FY14,5.6
X126,P.S. 126 DR MARJORIE H DUNBAR,175 WEST 166 STREET,10452,175 WEST 166 STREET 10452,FY15,2.9
M126,P.S. 126 JACOB AUGUST RIIS,80 CATHERINE STREET,10038,80 CATHERINE STREET 10038,FY15,3.8
Q132,P.S. 132 RALPH BUNCHE,132-15 218 STREET,11413,132-15 218 STREET 11413,FY15,3.6
K132,P.S. 132 THE CONSELYEA SCHOOL,320 MANHATTAN AVENUE,11211,320 MANHATTAN AVENUE 11211,FY15,4.3
M134,P.S. 134 HENRIETTA SZOLD,293 EAST BROADWAY,10002,293 EAST BROADWAY 10002,FY15,2.9
Q134,P.S. 134 HOLLIS,203-02 109 AVENUE,11412,203-02 109 AVENUE 11412,FY15,4.1
K135,P.S. 135 SHELDON A. BROOKNER,684 LINDEN BOULEVARD,11203,684 LINDEN BOULEVARD 11203,FY15,4.1
Q136,P.S. 136 ROY WILKINS,201-15 115 AVENUE,11412,201-15 115 AVENUE 11412,FY15,5.4
K139,P.S. 139 ALEXINE A. FENTY,330 RUGBY ROAD,11226,330 RUGBY ROAD 11226,FY15,3.1
Q144,P.S. 144 COL JEROMUS REMSEN,93-02 69 AVENUE,11375,93-02 69 AVENUE 11375,FY15,4.5
M145,"P.S. 145, THE BLOOMINGDALE SCHOOL",150 WEST 105 STREET,10025,150 WEST 105 STREET 10025,FY15,3
K146,P.S. 146,610 HENRY STREET,11231,610 HENRY STREET 11231,FY15,3.7
X146,P.S. 146 EDWARD COLLINS,968 CAULDWELL AVENUE,10456,968 CAULDWELL AVENUE 10456,FY15,3.3
Q151,P.S. 151 MARY D. CARTER,50-05 31 AVENUE,11377,50-05 31 AVENUE 11377,FY15,3.4
M153,P.S. 153 ADAM CLAYTON POWELL,1750 AMSTERDAM AVENUE,10031,1750 AMSTERDAM AVENUE 10031,FY15,4.1
M154,P.S. 154 HARRIET TUBMAN,250 WEST 127 STREET,10027,250 WEST 127 STREET 10027,FY15,2.1
X154,P.S. 154 JONATHAN D. HYATT,333 EAST 135 STREET,10454,333 EAST 135 STREET 10454,FY15,3.5
Q154,P.S. 154 QUEENS,75-02 162 STREET,11366,75-02 162 STREET 11366,FY15,5.1
M155,P.S. 155 WILLIAM PACA,319 EAST 117 STREET,10035,319 EAST 117 STREET 10035,FY15,2.3
Q156,P.S. 156 LAURELTON,229-02 137 AVENUE,11413,229-02 137 AVENUE 11413,FY15,3.5
K156,P.S. 156 WAVERLY,104 SUTTER AVENUE,11212,104 SUTTER AVENUE 11212,FY15,5
M158,P.S. 158 BAYARD TAYLOR,1458 YORK AVENUE,10075,1458 YORK AVENUE 10075,FY15,3.5
K158,P.S. 158 WARWICK,400 ASHFORD STREET,11207,400 ASHFORD STREET 11207,FY15,4.3
X160,P.S. 160,4140 HUTCHINSON RIVER PKWAY EA,10475,4140 HUTCHINSON RIVER PKWAY EA 10475,FY14,3.6
K161,P.S. 161 THE CROWN,330 CROWN STREET,11225,330 CROWN STREET 11225,FY15,3.4
X163,P.S. 163 ARTHUR A. SCHOMBURG,2075 WEBSTER AVENUE,10457,2075 WEBSTER AVENUE 10457,FY15,2.2
Q164,P.S. 164 QUEENS VALLEY,138-01 77 AVENUE,11367,138-01 77 AVENUE 11367,FY15,5.8
K165,P.S. 165 IDA POSNER,76 LOTT AVENUE,11212,76 LOTT AVENUE 11212,FY15,4.5
M165,P.S. 165 ROBERT E. SIMON,234 WEST 109 STREET,10025,234 WEST 109 STREET 10025,FY15,4.2
M171,P.S. 171 PATRICK HENRY,19 EAST 103 STREET,10029,19 EAST 103 STREET 10029,FY15,4.2
M173,P.S. 173,306 FORT WASHINGTON AVENUE,10033,306 FORT WASHINGTON AVENUE 10033,FY15,3.8
M175,P.S. 175 HENRY H GARNET,175 WEST 134 STREET,10030,175 WEST 134 STREET 10030,FY15,2.8
Q175,P.S. 175 THE LYNN GROSS DISCOVERY SCHOOL,64-35 102 STREET,11374,64-35 102 STREET 11374,FY15,4.1
Q176,P.S. 176 CAMBRIA HEIGHTS,120-45 235 STREET,11411,120-45 235 STREET 11411,FY15,5.3
M180,P.S. 180 HUGO NEWMAN,370 WEST 120 STREET,10027,370 WEST 120 STREET 10027,FY15,3.6
Q181,P.S. 181 BROOKFIELD,148-15 230 STREET,11413,148-15 230 STREET 11413,FY15,3.7
K181,P.S. 181 BROOKLYN,1023 NEW YORK AVENUE,11203,1023 NEW YORK AVENUE 11203,FY15,2.8
X182,P.S. 182,601 STICKBALL BOULEVARD,10473,601 STICKBALL BOULEVARD 10473,FY15,3.1
Q183,P.S. 183 DR. RICHARD R. GREEN,2-45 BEACH 79 STREET,11693,2-45 BEACH 79 STREET 11693,FY15,4.7
K184,P.S. 184 NEWPORT,273 NEWPORT STREET,11212,273 NEWPORT STREET 11212,FY15,4.5
M184,P.S. 184M SHUANG WEN,327 CHERRY STREET,10002,327 CHERRY STREET 10002,FY15,2.8
Q186,P.S. 186 CASTLEWOOD,252-12 72 AVENUE,11426,252-12 72 AVENUE 11426,FY14,4.7
K188,P.S. 188 MICHAEL E. BERDY,3314 NEPTUNE AVENUE,11224,3314 NEPTUNE AVENUE 11224,FY15,3.5
M191,P.S. 191 AMSTERDAM,210 WEST 61 STREET,10023,210 WEST 61 STREET 10023,FY15,3.2
K191,P.S. 191 PAUL ROBESON,1600 PARK PLACE,11233,1600 PARK PLACE 11233,FY15,3.4
M192,P.S. 192 JACOB H. SCHIFF,500 WEST 138 STREET,10031,500 WEST 138 STREET 10031,FY15,4.6
K194,P.S. 194 RAOUL WALLENBERG,3117 AVENUE W,11229,3117 AVENUE W 11229,FY15,3.1
X196,P.S. 196,1250 WARD AVENUE,10472,1250 WARD AVENUE 10472,FY15,4.5
K196,P.S. 196 TEN EYCK,207 BUSHWICK AVENUE,11206,207 BUSHWICK AVENUE 11206,FY15,1.9
M197,P.S. 197 JOHN B. RUSSWURM,2230 5 AVENUE,10037,2230 5 AVENUE 10037,FY15,4.2
Q197,P.S. 197 THE OCEAN SCHOOL,825 HICKSVILLE ROAD,11691,825 HICKSVILLE ROAD 11691,FY15,4.6
M198,P.S. 198 ISADOR E. IDA STRAUS,1700 3 AVENUE,10128,1700 3 AVENUE 10128,FY15,3.3
K199,P.S. 199 FREDERICK WACHTEL,1100 ELM AVENUE,11230,1100 ELM AVENUE 11230,FY15,4.4
X199,P.S. 199X - THE SHAKESPEARE SCHOOL,1449 SHAKESPEARE AVENUE,10452,1449 SHAKESPEARE AVENUE 10452,FY15,3.7
M200,P.S. 200- THE JAMES MCCUNE SMITH SCHOOL,2589 7 AVENUE,10039,2589 7 AVENUE 10039,FY15,2.8
K203,P.S. 203 THE SCHOOL FOR FUTURE LEADERS,5101 AVENUE M,11234,5101 AVENUE M 11234,FY15,3.1
Q205,P.S. 205 ALEXANDER GRAHAM BELL,75-25 BELL BOULEVARD,11364,75-25 BELL BOULEVARD 11364,FY15,4.5
K205,P.S. 205 CLARION,6701 20 AVENUE,11204,6701 20 AVENUE 11204,FY15,4.5
X207,P.S. 207,3030 GODWIN TERRACE,10463,3030 GODWIN TERRACE 10463,FY15,2.1
Q207,P.S. 207 ROCKWOOD PARK,159-15 88 STREET,11414,159-15 88 STREET 11414,FY14,5.4
X209,P.S. 209,313 EAST 183RD STREET,10458,313 EAST 183RD STREET 10458,FY15,4.1
X211,P.S. 211,1919 PROSPECT AVENUE,10457,1919 PROSPECT AVENUE 10457,FY15,3.4
X212,P.S. 212,1180 TINTON AVENUE,10456,1180 TINTON AVENUE 10456,FY15,3.3
M212,P.S. 212 MIDTOWN WEST,328 WEST 48 STREET,10036,328 WEST 48 STREET 10036,FY15,3.7
Q213,P.S. 213 THE CARL ULLMAN SCHOOL,231-02 67 AVENUE,11364,231-02 67 AVENUE 11364,FY15,4.7
K216,P.S. 216 ARTURO TOSCANINI,350 AVENUE X,11223,350 AVENUE X 11223,FY15,2
Q223,P.S. 223 LYNDON B. JOHNSON,125-20 SUTPHIN BOULEVARD,11434,125-20 SUTPHIN BOULEVARD 11434,FY15,3.7
K224,P.S. 224 HALE A. WOODRUFF,757 WORTMAN AVENUE,11208,757 WORTMAN AVENUE 11208,FY15,2.1
Q229,P.S. 229 EMANUEL KAPLAN,67-25 51 ROAD,11377,67-25 51 ROAD 11377,FY14,4.3
K230,P.S. 230 DORIS L. COHEN,1 ALBEMARLE ROAD,11218,1 ALBEMARLE ROAD 11218,FY15,3.9
X236,P.S. 236 LANGSTON HUGHES,1871 WALTON AVENUE,10453,1871 WALTON AVENUE 10453,FY15,3
K243,P.S. 243K- THE WEEKSVILLE SCHOOL,1580 DEAN STREET,11213,1580 DEAN STREET 11213,FY15,3.1
K245,P.S. 245,249 EAST 17TH STREET,11226,249 EAST 17TH STREET 11226,FY15,2.8
Q251,P.S. 251 QUEENS,144-51 ARTHUR STREET,11413,144-51 ARTHUR STREET 11413,FY15,3.8
Q253,P.S. 253,1307 CENTRAL AVENUE,11691,1307 CENTRAL AVENUE 11691,FY15,3
K256,P.S. 256 BENJAMIN BANNEKER,114 KOSCIUSKO STREET,11216,114 KOSCIUSKO STREET 11216,FY15,2.6
K261,P.S. 261 PHILIP LIVINGSTON,314 PACIFIC STREET,11201,314 PACIFIC STREET 11201,FY15,2.4
K262,P.S. 262 EL HAJJ MALIK EL SHABAZZ ELEMENTARY SCHOOL,500 MACON STREET,11233,500 MACON STREET 11233,FY15,3.3
K269,P.S. 269 NOSTRAND,1957 NOSTRAND AVENUE,11210,1957 NOSTRAND AVENUE 11210,FY15,3.1
K270,P.S. 270 JOHANN DEKALB,241 EMERSON PLACE,11205,241 EMERSON PLACE 11205,FY15,3.4
K272,P.S. 272 CURTIS ESTABROOK,101-24 SEAVIEW AVENUE,11236,101-24 SEAVIEW AVENUE 11236,FY15,2.8
X274,P.S. 274 THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,275 HARLEM RIVER PARK BRIDGE,10453,275 HARLEM RIVER PARK BRIDGE 10453,FY14,3.3
K279,P.S. 279 HERMAN SCHREIBER,1070 EAST 104 STREET,11236,1070 EAST 104 STREET 11236,FY15,3.8
K282,P.S. 282 PARK SLOPE,180 6 AVENUE,11217,180 6 AVENUE 11217,FY15,3
K287,P.S. 287 BAILEY K. ASHFORD,50 NAVY STREET,11201,50 NAVY STREET 11201,FY15,4.5
K288,P.S. 288 THE SHIRLEY TANYHILL,2950 WEST 25 STREET,11224,2950 WEST 25 STREET 11224,FY14,3.2
K289,P.S. 289 GEORGE V. BROWER,900 ST MARKS AVENUE,11213,900 ST MARKS AVENUE 11213,FY15,1.9
K297,P.S. 297 ABRAHAM STOCKTON,700 PARK AVENUE,11206,700 PARK AVENUE 11206,FY15,3.9
K299,P.S. 299 THOMAS WARREN FIELD,88 WOODBINE STREET,11221,88 WOODBINE STREET 11221,FY15,4.8
X003,P.S. 3 RAUL JULIA MICRO SOCIETY,2100 LAFONTAINE AVENUE,10457,2100 LAFONTAINE AVENUE 10457,FY15,3
X310,P.S. 310 MARBLE HILL,260 W KINGSBRIDGE RD,10463,260 W KINGSBRIDGE RD 10463,FY15,4.3
M325,P.S. 325,500 WEST 138 STREET,10031,500 WEST 138 STREET 10031,FY15,4
K326,P.S. 326,1800 UTICA AVENUE,11234,1800 UTICA AVENUE 11234,FY15,2.7
K329,P.S. 329 SURFSIDE,2929 WEST 30 STREET,11224,2929 WEST 30 STREET 11224,FY15,3.3
K346,P.S. 346 ABE STARK,1400 PENNSYLVANIA AVENUE,11239,1400 PENNSYLVANIA AVENUE 11239,FY15,5.1
K377,P.S. 377 ALEJANDRINA B. DE GAUTIER,200 WOODBINE STREET,11221,200 WOODBINE STREET 11221,FY15,3.3
K397,P.S. 397 FOSTER-LAURIE,490 FENIMORE STREET,11203,490 FENIMORE STREET 11203,FY15,3.3
K398,P.S. 398 WALTER WEAVER,60 EAST 94 STREET,11212,60 EAST 94 STREET 11212,FY15,2.5
X005,P.S. 5 PORT MORRIS,564 JACKSON AVENUE,10455,564 JACKSON AVENUE 10455,FY15,3.9
K770,P.S. 770 NEW AMERICAN ACADEMY,60 EAST 94 STREET,11212,60 EAST 94 STREET 11212,FY14,4.1
K155,P.S./ I.S. 155 NICHOLAS HERKIMER,1355 HERKIMER STREET,11233,1355 HERKIMER STREET 11233,FY15,3.8
K137,P.S./I.S. 137 RACHEL JEAN MITCHELL,121 SARATOGA AVENUE,11233,121 SARATOGA AVENUE 11233,FY15,3.3
X004,P.S./M.S. 004 CROTONA PARK WEST,1701 FULTON AVENUE,10457,1701 FULTON AVENUE 10457,FY15,4.4
X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,250 EAST 156 STREET,10451,250 EAST 156 STREET 10451,FY15,3
KBJP,PAL ARNOLD AND MARIE SCHWARTZ EARLY LEARN CENTER ( KBJP),452 PENNSYLVANIA AVENUE,11207,452 PENNSYLVANIA AVENUE 11207,FY14,4.1
KBBE,PAL CAREY GARDENS,2964 WEST 23RD STREET,11224,2964 WEST 23RD STREET 11224,FY14,4.4
QARE,PAL WOODSIDE EARLY LEARN CENTER,5037 BROADWAY,11377,5037 BROADWAY 11377,FY14,4.2
KAWX,PAL WORLD OF CREATIVE EXPERIENCES HEAD START,280 LIVONIA AVENUE,11212,280 LIVONIA AVENUE 11212,FY15,4.7
XANF,PAMELA C. TORRES DAYCARE CENTER,161 SAINT ANNS AVENUE,10454,161 SAINT ANNS AVENUE 10454,FY15,3.9
KBNV,PARK PLACE DAY CARE CENTER,963 PARK PLACE,11213,963 PARK PLACE 11213,FY15,3.8
KBKQ,PARKSIDE ECDC,525 PARKSIDE AVENUE,11226,525 PARKSIDE AVENUE 11226,FY14,2.9
XAFR,PAUL T. MATSON HEAD START 5,1780 STORY AVENUE,10473,1780 STORY AVENUE 10473,FY14,4.1
MASX,PEQUENOS SOULS DAY CARE CENTER,114 EAST 122ND STREET,10035,114 EAST 122ND STREET 10035,FY14,2.2
XAMZ,PHILIP H. MICHAELS CDC,629 COURTLANDT AVENUE,10451,629 COURTLANDT AVENUE 10451,FY14,5
XAWQ,PHIPPS NEIGHBORHOODS-ROSCOE C. BROWN EARLY CHILDHOOD EDU CENTER,3968 THIRD AVENUE,10457,3968 THIRD AVENUE 10457,FY15,4.6
KAIN,PHYL'S ACADEMY,3520 TILDEN AVENUE,11203,3520 TILDEN AVENUE 11203,FY14,3.8
KBCZ,PINE STREET DAY CARE,374 PINE STREET,11208,374 PINE STREET 11208,FY14,4.2
QASG,POSITIVE BEGINNINGS II,71-25 MAIN STREET,11367,71-25 MAIN STREET 11367,FY14,5.4
QBGU,POSITIVE BEGINNINGS PRESCHOOL,72-52 METROPOLITAN AVE,11379,72-52 METROPOLITAN AVE 11379,FY14,5.4
KCFZ,PRE-PAVE,732 HENRY STREET,11231,732 HENRY STREET 11231,FY14,3.5
QATT,PRESCHOOL R US,150-15 41ST AVENUE,11354,150-15 41ST AVENUE 11354,FY15,4.5
QBIZ,PRESCHOOL R US II,59-25 KISSENA BOULEVARD,11354,59-25 KISSENA BOULEVARD 11354,FY15,5.4
XAOA,PROMESA MULTI-CULTURAL DCC II,300 EAST 175TH STREET,10457,300 EAST 175TH STREET 10457,FY14,4.8
XAKR,PROSPECT EARLY CHILDHOOD CENTER,730 KELLY STREET,10455,730 KELLY STREET 10455,FY14,3.5
QASP,QING SHENG WANG GFDC,83-32 CORNISH AVE,11373,83-32 CORNISH AVE 11373,FY15,4.3
Q316,QUEENS EXPLORER'S ELEMENTARY,90-07 101ST AVENUE,11691,90-07 101ST AVENUE 11691,FY15,3.7
QBHV,QUEENS LIBRARY UPK - WOODHAVEN,85-41 FOREST PKWY,11421,85-41 FOREST PKWY 11421,FY15,5
QAPW,QUEENSBRIDGE ECDC,38-11 27TH STREET,11101,38-11 27TH STREET 11101,FY14,4
QAYE,QUICK START DAY CARE CENTER,118-46 RIVERTON STREET,11412,118-46 RIVERTON STREET 11412,FY15,4.1
QBHB,RAINBOW CHILD DEV CENTER II,77-40 164 STREET,11366,77-40 164 STREET 11366,FY14,4.5
QAMT,RALPH HIRSCHKORN CHILD CARE CENTER,310 BEACH 20TH STREET,11691,310 BEACH 20TH STREET 11691,FY14,4.3
