Site ID,Site Name,Full Address,ECERS Most Recent Assessment Year,ECERS Observation Average Score
QBGK,KON GEN INTERNATIONAL PRESCHOOL,196-29 42ND AVE 11358,FY15,4.8
QBJC,MAROOS PRESCHOOL,4502 82ND STREET 11373,FY15,4.8
QBBQ,MOST HOLY REDEEMER CATHOLIC ACADEMY,136-58 41ST AVE 11355,FY15,4.8
Q112,P.S. 112 DUTCH KILLS,25-05 37 AVENUE 11101,FY14,4.8
K299,P.S. 299 THOMAS WARREN FIELD,88 WOODBINE STREET 11221,FY15,4.8
XAOA,PROMESA MULTI-CULTURAL DCC II,300 EAST 175TH STREET 10457,FY14,4.8
RAGF,SI YMCA NURSERY - NORTH,651 BROADWAY 10310,FY15,4.8
QARG,SOUTH JAMAICA CENTER FOR CHILDREN AND PARENTS INC. CENTER 1,11402 GUY R BREWER BOULEVARD 11434,FY14,4.8
KBWV,ST JOHNS PLACE FAMILY CENTER DAY CARE PROGRAM,1620 SAINT JOHNS PLACE 11233,FY14,4.8
QAYX,ST. JOSEPH SCHOOL,28-46 44TH STREET 11103,FY14,4.8
KBGB,TRADITIONAL EDUCATIONAL CENTER,1469B BROADWAY 11221,FY14,4.8
QAVW,WEST END TEMPLE NURSERY SCHOOL,14702 NEWPORT AVENUE 11694,FY15,4.8
KBSQ,ALL MY CHILDREN DAY CARE 15,36 FORD STREET 11213,FY14,4.7
QAPB,ALL MY CHILDREN DAY CARE 4,11015 164TH PLACE 11433,FY14,4.7
QBJN,AL-MAMOOR SCHOOL,78-31 PARSONS BOULEVARD 11366,FY15,4.7
KBUA,BCS ATLANTIC AVENUE EARLY LEARNING CENTER,1825 ATLANTIC AVENUE 11233,FY14,4.7
QBJH,BETHEL MISSION STATION CHURCH / BETHEL MISSION LOVING DAY CARE CENTER,338 BEACH 56 STREET 11692,FY15,4.7
QAUL,COMMUNITY CHURCH OF DOUGLASTON,3950 DOUGLASTON PARKWAY 11363,FY14,4.7
XAQL,CORRY ACADEMY,4321 BARNES AVENUE 10466,FY14,4.7
QBBF,DIVINE WISDOM CATHOLIC ACADEMY DOUGLASTON,45-11 245TH STREET 11363,FY15,4.7
KBWQ,FAMILY HEAD START CONEY ISLAND,2960 WEST 27TH STREET 11224,FY15,4.7
KBRP,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER #5,1886 NOSTRAND AVENUE 11226,FY14,4.7
KBMQ,"HANSON PLACE CHILD DEVELOPMENT CENTER, INC.",55 HANSON PLACE 11217,FY15,4.7
RAHZ,"HYLAN DAY CARE, INC.",2346 HYLAN BOULEVARD 10306,FY15,4.7
QBBR,ICCD,35-55 223RD STREET 11361,FY15,4.7
QAZW,LA GUARDIA COMMUNITY COLLEGE PRE-SCHOOL,3110 THOMSON AVENUE 11101,FY15,4.7
MAWI,NORTHSIDE CENTER DAY SCHOOL,302-306 EAST 111TH STREET 10029,FY15,4.7
QAVO,OMEGA PSI PHI FRATERNITY,12310 143RD STREET 11436,FY15,4.7
R036,P.S. 036 J. C. DRUMGOOLE,255 IONIA AVENUE 10312,FY15,4.7
M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,319 EAST 19 STREET 10003,FY15,4.7
Q063,P.S. 063 OLD SOUTH,90-15 SUTTER AVENUE 11417,FY15,4.7
Q183,P.S. 183 DR. RICHARD R. GREEN,2-45 BEACH 79 STREET 11693,FY15,4.7
Q186,P.S. 186 CASTLEWOOD,252-12 72 AVENUE 11426,FY14,4.7
Q213,P.S. 213 THE CARL ULLMAN SCHOOL,231-02 67 AVENUE 11364,FY15,4.7
KAWX,PAL WORLD OF CREATIVE EXPERIENCES HEAD START,280 LIVONIA AVENUE 11212,FY15,4.7
QAXV,REDEEMER LUTHERAN CHURCH AND NURSERY SCHOOL,9210 217TH STREET 11428,FY15,4.7
RABN,SAINT CHRISTOPHER SCHOOL,15 LISBON PLACE 10306,FY14,4.7
