Site ID,Site Name,Full Address,ECERS Most Recent Assessment Year,ECERS Observation Average Score
XAVW,"UNITY NEIGHBORHOOD CENTER, INC.",1339 E GUN HILL RD 10469,FY15,3.8
KAXU,UNIVERSITY SETTLEMENT CHILDREN'S CORNER,565 LIVONIA AVENUE 11207,FY15,3.8
KBDA,URBAN STRATEGIES 1,1091 SUTTER AVENUE 11208,FY14,3.8
XAKJ,WAKE-EDEN CHRISTIAN ACADEMY,2074 STRANG AVE. 10466,FY15,3.8
KATR,WARBASSE NURSERY SCHOOL,2785 WEST 5TH STREET 11224,FY14,3.8
KCIQ,WIZARD OF OZ DAY CARE LLC,622 FOSTER AVENUE 11230,FY15,3.8
KBMU,ACE EARLY CHILDHOOD CENTER,199 14TH STREET2ND FLOOR 11215,FY15,3.7
XAMI,ALEENE LOGAN DAY CARE,1450 WEBSTER AVENUE 10456,FY14,3.7
QBHD,ALL MY CHILDREN DAY CARE 3,6605 108TH STREET 11375,FY14,3.7
KCKC,ALPHA CHRISTIAN ACADEMY,921 EAST 107TH STREET 11236,FY15,3.7
X077,BEDFORD PARK ELEMENTARY SCHOOL,3177 WEBSTER AVENUE 10467,FY15,3.7
KBXK,BRIGHTSIDE ACADEMY - CLARKSON,210 CLARKSON AVENUE 11226,FY14,3.7
XAOD,BRONXWORKS,1130 GRAND CONCOURSE 10456,FY15,3.7
KBUL,BROOKLYN CHINESE AMERICAN ASSOCIATION,6409 20 AVENUE 11204,FY14,3.7
QAVD,COMMUNITY AND FAMILY HEAD START,4105 BEACH CHANNEL DRIVE 11691,FY15,3.7
KBNP,COMMUNITY PARENTS HEAD START,90 CHAUNCEY STREET 11233,FY15,3.7
XAMW,EAST SIDE HOUSE,200 ALEXANDER AVENUE 10454,FY15,3.7
MBGT,FINGER PAINTED HANDS,126 WEST 83RD STREET 10024,FY15,3.7
RADN,FOCH,195 GORDON STREET 10304,FY15,3.7
KBSI,FRIENDS OF CROWN HEIGHTS 9,813 STERLING PLACE 11216,FY14,3.7
MAUW,HAMILTON MADISON HOUSE EARLYLEARN CENTER 4,77 MARKET STREET 10002,FY14,3.7
XABK,HOLY CROSS SCHOOL,1846 RANDALL AVENUE 10473,FY15,3.7
MAMQ,LENOX HILL NEIGHBORHOOD HOUSE,331 EAST 70TH STREET 10021,FY15,3.7
KBKE,LSSMNY: EARLY LIFE CHILDREN'S CENTER 9,1175 GATES AVENUE 11221,FY14,3.7
QARC,LUCILLE ROSE DCC,148 BEACH 59TH ST 11692,FY15,3.7
XAOV,MARC ACADEMY AND FAMILY CENTER,2105 JEROME AVE 10453,FY14,3.7
QBGP,MOVING UP CHILDREN CENTER,4069 94 STREET 11373,FY14,3.7
K532,NEW BRIDGES ELEMENTARY,1025 EASTERN PARKWAY 11213,FY15,3.7
R044,P.S. 044 THOMAS C. BROWN,80 MAPLE PARKWAY 10303,FY15,3.7
K146,P.S. 146,610 HENRY STREET 11231,FY15,3.7
Q181,P.S. 181 BROOKFIELD,148-15 230 STREET 11413,FY15,3.7
X199,P.S. 199X - THE SHAKESPEARE SCHOOL,1449 SHAKESPEARE AVENUE 10452,FY15,3.7
M212,P.S. 212 MIDTOWN WEST,328 WEST 48 STREET 10036,FY15,3.7
Q223,P.S. 223 LYNDON B. JOHNSON,125-20 SUTPHIN BOULEVARD 11434,FY15,3.7
Q316,QUEENS EXPLORER'S ELEMENTARY,90-07 101ST AVENUE 11691,FY15,3.7
MBGR,RENANIM MANHATTAN,336 EAST 61ST STREET 10065,FY15,3.7
XAEB,ST. MARGARET OF CORTONA,452 WEST 260TH STREET 10471,FY15,3.7
XAVX,SUNSHINE DAYCARE OF WESTCHESTER VILLAGE,1564 ST. PETERS AVENUE 10461,FY15,3.7
KBPD,SYLVIA KLEIN CHILD CARE CENTER,720 EUCLID AVENUE 11208,FY14,3.7
QANT,THE CHILD CENTER OF NY 1,6002 ROOSEVELT AVENUE 11377,FY14,3.7
KBVE,URBAN STRATEGIES 3,1152 ELTON STREET 11239,FY15,3.7
XALA,WESTCHESTER TREMONT DCC,2547 EAST TREMONT AVENUE 10461,FY15,3.7
QAPU,XCEL TINY TOTS INC.,113-15 SPRINGFIELD BLVD 11429,FY15,3.7
KCJR,A TO Z DAY CARE CENTER,3053 AVENUE U 11229,FY15,3.6
KBBY,BE ABOVE #27,779 EAST 49 STREET 11203,FY14,3.6
MAUZ,BLOOMINGDALE FAMILY PROGRAM 1,125 WEST 109TH STREET 10025,FY15,3.6
KBPA,BOULEVARD NURSERY SCHOOL,2150 LINDEN BOULEVARD 11207,FY14,3.6
XAWZ,BRIGHTSIDE ACADEMY - INTERVALE,960 INTERVALE AVENUE 10459,FY15,3.6
MAUK,CHILDREN'S AID SOCIETY,93 NAGLE AVENUE 10040,FY14,3.6
KBJF,COOPER PARK CHILD CARE CENTER,292 FROST STREET 11222,FY14,3.6
KCJZ,COPO PREK PROGRAM,1083 CONEY ISLAND AVE 11230,FY15,3.6
MAXC,ECDO CHILD START CENTER,249 WEST 144TH STREET 10030,FY15,3.6
KBQN,FRIENDS OF CROWN HEIGHTS 6,49 AVENUE W 11223,FY15,3.6
MBBJ,FT GEORGE CHILD  CENTER 1,601 W 186 ST 10033,FY15,3.6
KAYS,HAWTHORNE CORNERS DAY CARE CENTER,1950 BEDFORD AVENUE 11225,FY15,3.6
KAFZ,HIDEC,1401 AVENUE I 11230,FY15,3.6
XAKA,INTERVALE (CENTER #2),1054 INTERVALE AVENUE 10459,FY15,3.6
KCIX,IP KIDS,2631 86 STREET 11223,FY15,3.6
QAXL,LAURELTON DAY CARE,14119 224TH STREET 11413,FY15,3.6
MAVY,METRO NORTH CHILDCARE CENTER,304 EAST 102ND STREET 10029,FY15,3.6
Q020,P.S. 020 JOHN BOWNE,142-30 BARCLAY AVENUE 11355,FY15,3.6
K045,P.S. 045 HORACE E. GREENE,84 SCHAEFER STREET 11207,FY15,3.6
X073,P.S. 073 BRONX,1020 ANDERSON AVENUE 10452,FY15,3.6
Q132,P.S. 132 RALPH BUNCHE,132-15 218 STREET 11413,FY15,3.6
X160,P.S. 160,4140 HUTCHINSON RIVER PKWAY EA 10475,FY14,3.6
M180,P.S. 180 HUGO NEWMAN,370 WEST 120 STREET 10027,FY15,3.6
XADT,SAINT JOHN CHRYSOSTOM SCHOOL,1144 HOE AVENUE 10459,FY15,3.6
XAOI,SHARON BAPTIST - CENTER IV,1925 BATHGATE AVENUE 10457,FY15,3.6
MAVK,THE CHILDREN'S AID SOCIET FREDERICK DOUGLASS EARLY CHILDHOOD PROGRAM,885 COLUMBUS AVENUE 10025,FY15,3.6
XAPN,1199 FUTURE OF AMERICA LEARNING CENTER,2500 CRESTON AVENUE 10468,FY14,3.5
RAEW,"4 ANGELS DAY CARE, INC.",245 SIMONSON AVENUE 10303,FY14,3.5
KCHM,ALONZO A. DAUGHTRY MEMORIAL DAY CARE CENTER INC,565 BALTIC STREET 11217,FY15,3.5
KCHJ,"ARISTA PREP, INC.",221 KINGSTON AVENUE 11213,FY15,3.5
KBTE,BRIGHTSIDE ACADEMY - BROADWAY,1491 BROADWAY 11221,FY14,3.5
KBRA,BUSHWICK UNITED HDFC 7,600 HART STREET 11221,FY14,3.5
KBKH,BUSHWICK UNITED HDFC 9,741 FLUSHING AVENUE 11206,FY14,3.5
XAFP,EAST SIDE HOUSE,201 SAINT ANNS AVENUE 10454,FY14,3.5
MAPA,EPISCOPAL SOCIAL SERVICES HEAD START (FIFTH AVENUE),2289 FIFTH AVENUE 10037,FY14,3.5
KBOW,FRIENDS OF CROWN HEIGHTS,141 EAST 40TH STREET 11203,FY15,3.5
KCEH,IMAGINE BROOKLYN HEIGHTS,50 MONROE PLACE 11201,FY14,3.5
QATX,IMMANUEL CREATIVE,16315 OAK AVENUE 11358,FY15,3.5
XAPT,"LITTLE STARS SCHOOL, INC.",4063 EDSON AVENUE 10466,FY14,3.5
QAUJ,MARTIN L. KING JR. MEM DCC,3606 PRINCE STREET 11354,FY15,3.5
XAIE,MID BRONX CCRP ECC 3,1360 OGDEN AVENUE 10452,FY14,3.5
MBHV,MOREAU LMSW CHILDREN & FAMILY SERVICES PC,764 ST. NICHOLAS AVENUE 10031,FY15,3.5
K029,P.S. 029 JOHN M. HARRIGAN,425 HENRY STREET 11201,FY15,3.5
X063,P.S. 063 AUTHOR'S ACADEMY,1260 FRANKLIN AVENUE 10456,FY15,3.5
K118,P.S. 118 MAURICE SENDAK SCHOOL,211 8TH STREET 11215,FY14,3.5
X154,P.S. 154 JONATHAN D. HYATT,333 EAST 135 STREET 10454,FY15,3.5
Q156,P.S. 156 LAURELTON,229-02 137 AVENUE 11413,FY15,3.5
M158,P.S. 158 BAYARD TAYLOR,1458 YORK AVENUE 10075,FY15,3.5
K188,P.S. 188 MICHAEL E. BERDY,3314 NEPTUNE AVENUE 11224,FY15,3.5
KCFZ,PRE-PAVE,732 HENRY STREET 11231,FY14,3.5
XAKR,PROSPECT EARLY CHILDHOOD CENTER,730 KELLY STREET 10455,FY14,3.5
XAHA,READY SET LEARN,3480 THIRD AVENUE 10456,FY14,3.5
XALJ,"SAINT JEMUEL GROUP FAMILY DAY CARE, INC.",2836 WEBB AVE 10468,FY14,3.5
QAXO,"SANDRA'S SUNFLOWER CHILD CARE, INC.",90-16 SUTPHIN BOULEVARD 11435,FY15,3.5
QAMU,SARATOGA EARLY CHILDHOOD EDUCATION CENTER,17515 ROCKAWAY BOULEVARD 11434,FY14,3.5
KCGN,SCO FAMILY OF SERVICES,774 SARATOGA AVENUE 11212,FY15,3.5
QAZI,SHELDON R. WEAVER CHILD CARE CENTER,72-05 BEACH CHANNEL DR. 11692,FY15,3.5
M072,THE LEXINGTON ACADEMY,131 EAST 104 STREET 10029,FY15,3.5
MABT,THE STOREFRONT ACADEMY HARLEM,70 EAST 129TH STREET 10035,FY14,3.5
KCHT,"BAYBEE LOUNGE DAYCARE, INC.",2745 ATLANTIC AVENUE 11207,FY15,3.4
KBNN,BEDFORD-STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER,971 DEKALB AVENUE 11221,FY14,3.4
XAVZ,BRIGHTSIDE ACADEMY - SOUTHERN 2,1778 SOUTHERN BOULEVARD 10460,FY15,3.4
KBYQ,BUMBLE BEES R US 8,4301 10TH AVENUE 11219,FY14,3.4
MAPY,GRAND ST SETTLEMENT DUAL CENTER #1,60 ESSEX STREET 10002,FY14,3.4
MASU,HAMILTON MADISON HOUSE EARLYLEARN CENTER 5,253 SOUTH STREET 10002,FY14,3.4
XANI,IVY LEAGUE EARLY LEARNING ACADEMY,4022 EAST TREMONT AVENUE 10465,FY15,3.4
XANT,LOUIS A. FICKLING CHILD DEVELOPMENT CENTER,1240 WEBSTER AVENUE 10456,FY14,3.4
MAVQ,MABEL BARRETT FITZGERALD DCC,243 WEST 64TH STREET 10023,FY14,3.4
QANR,MALCOLM X DAY CARE,11112 NORTHERN BOULEVARD 11368,FY14,3.4
KBJI,MARCY CHILDREN'S CENTER,494 MARCY AVENUE 11206,FY14,3.4
K005,P.S. 005 DR. RONALD MCNAIR,820 HANCOCK STREET 11233,FY15,3.4
X072,P.S. 072 DR. WILLIAM DORNEY,2951 DEWEY AVENUE 10465,FY15,3.4
Q151,P.S. 151 MARY D. CARTER,50-05 31 AVENUE 11377,FY15,3.4
K161,P.S. 161 THE CROWN,330 CROWN STREET 11225,FY15,3.4
K191,P.S. 191 PAUL ROBESON,1600 PARK PLACE 11233,FY15,3.4
X211,P.S. 211,1919 PROSPECT AVENUE 10457,FY15,3.4
K270,P.S. 270 JOHANN DEKALB,241 EMERSON PLACE 11205,FY15,3.4
XAXA,REACH ONE TO TEACH ONE,5480 BROADWAY 10463,FY15,3.4
QAMV,SCO FAMILY OF SERVICES JEROME HARDEMAN ECE,29-49 GILLMORE STREET 11369,FY14,3.4
XAJJ,SHARON BAPTIST - CENTER II,279 EAST BURNSIDE AVENUE 10457,FY15,3.4
KBON,THE CHILDREN'S CENTER @ SUNY BROOKLYN,440 LENOX ROAD 11203,FY14,3.4
XASI,THE GARVEY SCHOOL,4120 HUTCHINSON RIVER PARKWAY 10475,FY15,3.4
XAHH,TRABAJAMOS COMMUNITY HEAD START,1997 BATHGATE AVENUE 10457,FY14,3.4
MBFX,URBAN CONCEPTS/ROUND THE CLOCK,300 W 145 STREET 10039,FY15,3.4
MASA,ADDIE MAE COLLINS 3,2322 THIRD AVENUE 10035,FY14,3.3
KBES,BUSHWICK UNITED HDFC 6,200 CENTRAL AVENUE 11221,FY14,3.3
QBGJ,COMMITTEE FOR EARLY CHILDHOOD DEVELOPMENT DAY CARE CENTER,193-25 JAMAICA AVENUE 11423,FY14,3.3
KASG,EDWARDS L. CLEAVELAND,1185 PARK PLACE 11213,FY15,3.3
KAFB,EPIPHANY LUTHERAN SCHOOL,721 LINCOLN PL 11216,FY15,3.3
KBQX,GET SET KINDERGARTEN SCHOOL SITE - CORTELYOU,1919 CORTELYOU ROAD 11226,FY15,3.3
MAPM,HAMILTON MADISON HOUSE EARLYLEARN CENTER 2,60 CATHERINE STREET 10038,FY14,3.3
XANU,HELP II,285 EAST 171ST STREET 10457,FY15,3.3
XAKQ,HELP III,785 CROTONA PARK NORTH 10460,FY14,3.3
QBDA,HIGHLAND ACADEMICS,162-10 HIGHLAND AVENUE 11432,FY15,3.3
KCJQ,INITIAL STEPS CHILD DEVELOPMENT CENTER,3003 GLENWOOD ROAD 11210,FY15,3.3
XAVR,JOAN GANZ COONEY EARLY LEARNING PROGRAM,436 EAST 149TH STREET 10455,FY15,3.3
XAOR,KINGSBRIDGE MONTESSORI SCHOOL,2500 JEROME AVENUE 10468,FY15,3.3
KATZ,NEPTUNE AVENUE HEAD START,293 NEPTUNE AVENUE 11235,FY15,3.3
X001,P.S. 001 COURTLANDT SCHOOL,335 EAST 152 STREET 10451,FY15,3.3
M005,P.S. 005 ELLEN LURIE,3703 TENTH AVENUE 10034,FY15,3.3
K121,P.S. 121 NELSON A. ROCKEFELLER,5301 20 AVENUE 11204,FY15,3.3
X146,P.S. 146 EDWARD COLLINS,968 CAULDWELL AVENUE 10456,FY15,3.3
M198,P.S. 198 ISADOR E. IDA STRAUS,1700 3 AVENUE 10128,FY15,3.3
X212,P.S. 212,1180 TINTON AVENUE 10456,FY15,3.3
K262,P.S. 262 EL HAJJ MALIK EL SHABAZZ ELEMENTARY SCHOOL,500 MACON STREET 11233,FY15,3.3
X274,P.S. 274 THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,275 HARLEM RIVER PARK BRIDGE 10453,FY14,3.3
K329,P.S. 329 SURFSIDE,2929 WEST 30 STREET 11224,FY15,3.3
K377,P.S. 377 ALEJANDRINA B. DE GAUTIER,200 WOODBINE STREET 11221,FY15,3.3
K397,P.S. 397 FOSTER-LAURIE,490 FENIMORE STREET 11203,FY15,3.3
K137,P.S./I.S. 137 RACHEL JEAN MITCHELL,121 SARATOGA AVENUE 11233,FY15,3.3
KCKG,ROCKGATE DAY CARE CENTER 1,770-784 GLENMORE AVE 11208,FY15,3.3
XAVD,TENDER TOTS DECATUR,3322 DECATUR AVENUE 10467,FY14,3.3
KBLM,"THE SALVATION ARMY, BEDFORD",110 KOSCIUSKO ST 11216,FY15,3.3
XARN,TRABAJAMOS COMMUNITY HEAD START,1905 MORRIS AVENUE 10453,FY15,3.3
KCJD,URBAN STRATEGIES ATKINS AVE,255 ATKINS AVENUE 11208,FY15,3.3
KCJH,"A CASTLE FOR CLASSY KIDS LEARNING CENTER, INC.",2570 PITKIN AVENUE 11208,FY15,3.2
MAWD,ADDIE MAE COLLINS 2,345 EAST 101ST STREET 10029,FY15,3.2
QAWX,APPLE TREE NURSERY SCHOOL,8225 164TH STREET 11432,FY15,3.2
XART,BRIGHTSIDE ACADEMY,331 EAST 150TH STREET 10451,FY15,3.2
M225,ELLA BAKER SCHOOL,317 EAST 67 STREET 10065,FY15,3.2
KBOF,FRIENDS OF CROWN HEIGHTS 2,671 PROSPECT PLACE 11216,FY15,3.2
KBEZ,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER #11,995 CARROLL STREET 11225,FY14,3.2
KAFO,GOOD SHEPHERD SCHOOL,1943 BROWN STREET 11229,FY15,3.2
XAHB,GROW WITH US (SUSAN E. WAGNER),1732 DAVIDSON AVENUE 10456,FY14,3.2
XANW,HIGHBRIDGE ADVISORY COUNCIL HEAD START,880 RIVER AVENUE 10452,FY15,3.2
MAVN,OPEN DOOR CCC,820 COLUMBUS AVENUE 10025,FY15,3.2
K092,P.S. 092 ADRIAN HEGEMAN,601 PARKSIDE AVENUE 11226,FY15,3.2
X092,P.S. 092 BRONX,700 EAST 179 STREET 10457,FY15,3.2
Q106,P.S. 106,180 BEACH 35 STREET 11691,FY14,3.2
M191,P.S. 191 AMSTERDAM,210 WEST 61 STREET 10023,FY15,3.2
K288,P.S. 288 THE SHIRLEY TANYHILL,2950 WEST 25 STREET 11224,FY14,3.2
QAUE,"READY, SET, GROW CHILD CENTER, LLC.",13616 31ST ROAD 11354,FY15,3.2
QAOQ,ROCKAWAY CHILD CARE CENTER,1466 BEACH CHANNEL DR. 11691,FY15,3.2
KAJW,ST FRANCIS OF ASSISI,400 LINCOLN ROAD 11225,FY15,3.2
KBLU,STAGG STREET CENTER FOR CHILDREN,77 STAGG STREET 11206,FY15,3.2
XAQY,SUSAN WAGNER VICTORY,3440 WHITE PLAINS ROAD 10467,FY15,3.2
QAOC,AFRO AMERICAN PARENTS,117-02 GUY BREWER BLVD 11434,FY15,3.1
MAUH,BELLEVUE-EDUCARE CHILDCARE CENTER,462 FIRST AVENUE 10016,FY14,3.1
KBSA,BUSHWICK UNITED HDFC 2,77 WILSON AVENUE 11237,FY15,3.1
XAJU,CHILDREN'S AID AT P.S. 211,1919 PROSPECT AVENUE 10457,FY14,3.1
KCHX,DEZZENTERPRISE LLC,3524 NEPTUNE AVENUE 11224,FY15,3.1
MATR,ESCUELA HISPANA MONTESSORI 1,185 AVENUE D 10009,FY14,3.1
KCIS,GREATER BRIGHT LIGHT LEARNING CENTER,1320 SUTTER AVE 11208,FY15,3.1
MAUP,HUDSON GUILD CHILDREN'S CENTER,459 WEST 26TH STREET 10001,FY15,3.1
XAHM,NORTHEAST BRONX DAY CARE CENTER (SUSAN WAGNER),5401 POST ROAD 10471,FY14,3.1
K139,P.S. 139 ALEXINE A. FENTY,330 RUGBY ROAD 11226,FY15,3.1
X182,P.S. 182,601 STICKBALL BOULEVARD 10473,FY15,3.1
K194,P.S. 194 RAOUL WALLENBERG,3117 AVENUE W 11229,FY15,3.1
K203,P.S. 203 THE SCHOOL FOR FUTURE LEADERS,5101 AVENUE M 11234,FY15,3.1
K243,P.S. 243K- THE WEEKSVILLE SCHOOL,1580 DEAN STREET 11213,FY15,3.1
K269,P.S. 269 NOSTRAND,1957 NOSTRAND AVENUE 11210,FY15,3.1
X458,SAMARA COMMUNITY SCHOOL,1550 VYSE AVENUE 10460,FY15,3.1
MBCM,SINGLETON GEMS,23 WEST 124TH STREET 10027,FY15,3.1
KAKF,ST MARK SCHOOL,2602 EAST 19TH STREET 11235,FY15,3.1
XAEF,ST MARY SCHOOL,3956 CARPENTER AVE 10466,FY15,3.1
KBRT,THE SALVATION ARMY - BROWNSVILLE DAY CARE CENTER,280 RIVERDALE AVENUE 1 11212,FY15,3.1
KABP,BATTALION CHRISTIAN ACADEMY,780 SCHENECTADY AVE 11203,FY15,3
XAWX,FABIANA DAY CAY ACADEMY UNIVERSAL PRE K,937 TELLER AVENUE 10451,FY15,3
M064,P.S. 064 ROBERT SIMON,600 EAST 6 STREET 10009,FY15,3
Q123,P.S. 123,145-01 119 AVENUE 11436,FY15,3
M145,"P.S. 145, THE BLOOMINGDALE SCHOOL",150 WEST 105 STREET 10025,FY15,3
X236,P.S. 236 LANGSTON HUGHES,1871 WALTON AVENUE 10453,FY15,3
Q253,P.S. 253,1307 CENTRAL AVENUE 11691,FY15,3
K282,P.S. 282 PARK SLOPE,180 6 AVENUE 11217,FY15,3
X003,P.S. 3 RAUL JULIA MICRO SOCIETY,2100 LAFONTAINE AVENUE 10457,FY15,3
X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,250 EAST 156 STREET 10451,FY15,3
KBLT,TOMPKINS CHILDREN'S CENTER,730 PARK AVENUE 11206,FY15,3
KCHR,"APPLE TREE DAY CARE, INC.",440 EAST 48TH STREET 11203,FY15,2.9
KCBX,BE ABOVE #26,771 EAST 49 STREET 11203,FY15,2.9
XAJD,BRONX EARLY CHILDHOOD CENTER,1515 SOUTHERN BOULEVARD 10460,FY14,2.9
KCEB,BROOKLYN CHINESE-AMERICAN ASSOCIATION,871 50TH STREET 11220,FY14,2.9
M513,CASTLE BRIDGE SCHOOL,560 WEST 169 STREET 10032,FY14,2.9
XAGC,HIGHBRIDGE ADVISORY COUNCIL EARLY CHILDHOOD CENTER #1,1594 TOWNSEND AVENUE 10452,FY14,2.9
KBWE,INNER FORCE TOTS,1181 EAST NEW YORK AVENUE 11212,FY14,2.9
XALV,KINGSBRIDGE HEIGHTS COMMUNITY CENTER,295 WEST 231ST STREET 10463,FY14,2.9
MAPW,LEGGETT MEMORIAL,237 EAST 104TH STREET 10029,FY14,2.9
KCKV,LITTLE NEST PRESCHOOL,511 CHURCH AVENUE 11218,FY15,2.9
XAPU,NORTH BRONX NCNW CDC,4035 WHITE PLAINS ROAD 10466,FY15,2.9
M087,P.S. 087 WILLIAM SHERMAN,160 WEST 78 STREET 10024,FY15,2.9
X121,P.S. 121 THROOP,2750 THROOP AVENUE 10469,FY15,2.9
X126,P.S. 126 DR MARJORIE H DUNBAR,175 WEST 166 STREET 10452,FY15,2.9
M134,P.S. 134 HENRIETTA SZOLD,293 EAST BROADWAY 10002,FY15,2.9
KBKQ,PARKSIDE ECDC,525 PARKSIDE AVENUE 11226,FY14,2.9
KBNT,SHIRLEY CHISHOLM DAY CARE CENTER SITE 1,2023 PACIFIC STREET 11233,FY14,2.9
X357,YOUNG VOICES ACADEMY,800 LYDIG AVENUE 10462,FY14,2.9
KBTH,BRIGHTSIDE ACADEMY - DEKALB AVE,844 DEKALB AVENUE 11221,FY14,2.8
RAFH,"CASTLE DAY CARE II, INC.",211 CANAL STREET 10304,FY14,2.8
MATO,DEWITT REFORMED CHURCH HEAD START,280 RIVINGTON STREET 10002,FY15,2.8
M092,P.S. 092 MARY MCLEOD BETHUNE,222 WEST 134 STREET 10030,FY15,2.8
X111,P.S. 111 SETON FALLS,3740 BAYCHESTER AVENUE 10466,FY15,2.8
M175,P.S. 175 HENRY H GARNET,175 WEST 134 STREET 10030,FY15,2.8
K181,P.S. 181 BROOKLYN,1023 NEW YORK AVENUE 11203,FY15,2.8
M184,P.S. 184M SHUANG WEN,327 CHERRY STREET 10002,FY15,2.8
M200,P.S. 200- THE JAMES MCCUNE SMITH SCHOOL,2589 7 AVENUE 10039,FY15,2.8
K245,P.S. 245,249 EAST 17TH STREET 11226,FY15,2.8
K272,P.S. 272 CURTIS ESTABROOK,101-24 SEAVIEW AVENUE 11236,FY15,2.8
KBDN,"RAVEN'S EARLY CHILDHOOD CENTER, INC.",1102 EAST 92ND STREET 11236,FY15,2.8
XANA,SOUTH BRONX HEAD START I,490 EAST 143RD STREET 10454,FY15,2.8
KCGO,THE CHILD DEVELOPMENT CENTER OF KINGSBOROUGH,1915 ORIENTAL BOULEVARD 11235,FY15,2.8
XAJF,BRIGHTSIDE ACADEMY - LOUIS NINE,1336 LOUIS NINE BOULEVARD 10459,FY15,2.7
KCHU,INFINITY UPK OF GERRITSEN AVENUE,2934-2936 GERRITSEN AVENUE 11229,FY15,2.7
XAOT,KINGSBRIDGE HEIGHTS COMMUNITY CENTER,3101 KINGSBRIDGE TERRACE 10463,FY14,2.7
K052,P.S. 052 SHEEPSHEAD BAY,2675 EAST 29 STREET 11235,FY15,2.7
K115,P.S. 115 DANIEL MUCATEL SCHOOL,1500 EAST 92 STREET 11236,FY15,2.7
K326,P.S. 326,1800 UTICA AVENUE 11234,FY15,2.7
KBKY,THE INFANT AND CHILD LEARNING CENTER,670 PARKSIDE AVENUE 11226,FY15,2.7
KBSX,BE ABOVE 49,2221 AVENUE R 11229,FY14,2.6
XAJK,BRIGHTSIDE ACADEMY - ST. ANN'S,780 ST ANNS AVE 10456,FY14,2.6
XAUZ,BRONXWORKS,1472 MONTGOMERY AVENUE 10453,FY14,2.6
KBYN,BUMBLE BEES R US 2,76 LORRAINE STREET 11231,FY14,2.6
KCJA,"LITTLE NEST COMMUNITY PLAYHOUSE, LLC",216 SEELEY STREET 11218,FY15,2.6
XAHD,MID BRONX CCRP ECC 4,1020 SUMMIT AVENUE 10452,FY14,2.6
K256,P.S. 256 BENJAMIN BANNEKER,114 KOSCIUSKO STREET 11216,FY15,2.6
XAOS,RIVERDALE MONTESSORI SCHOOL,5705 MOSHOLU AVENUE 10471,FY14,2.6
XAMB,TRABAJAMOS COMMUNITY HEAD START,2167 UNIVERSITY AVENUE 10453,FY14,2.6
KBWT,OUR CHILDREN THE LEADERS OF TOMORROW 1,756 MYRTLE AVENUE 11206,FY14,2.5
K084,P.S. 084 JOSE DE DIEGO,250 BERRY STREET 11211,FY15,2.5
K398,P.S. 398 WALTER WEAVER,60 EAST 94 STREET 11212,FY15,2.5
KCIY,"RONOMOZA, INC. / THE LEARNING EXPERIENCE",412 KINGS HIGHWAY 11223,FY15,2.5
XAFL,THE GARVEY SCHOOL,950 BAYCHESTER AVENUE 10475,FY15,2.5
K261,P.S. 261 PHILIP LIVINGSTON,314 PACIFIC STREET 11201,FY15,2.4
XARW,C.S. 61 EARLY CHILDHOOD,1550 CROTONA PARK EAST 10460,FY15,2.3
X359,CONCOURSE VILLAGE ELEMENTARY SCHOOL,750 CONCOURSE VILLAGE WEST 10451,FY15,2.3
K017,P.S. 017 HENRY D. WOODWORTH,208 NORTH 5 STREET 11211,FY15,2.3
Q050,P.S. 050 TALFOURD LAWN ELEMENTARY SCHOOL,143-26 101 AVENUE 11435,FY15,2.3
M155,P.S. 155 WILLIAM PACA,319 EAST 117 STREET 10035,FY15,2.3
KBUW,ST. MALACHY ECDC,220 HENDRIX STREET 11207,FY14,2.3
XATI,SUNSHINE DAY CARE,416 WILLIS AVENUE 10454,FY15,2.3
KBWD,CHILD PRODIGY LEARNING INC.,1001 BROADWAY 11221,FY15,2.2
X163,P.S. 163 ARTHUR A. SCHOMBURG,2075 WEBSTER AVENUE 10457,FY15,2.2
MASX,PEQUENOS SOULS DAY CARE CENTER,114 EAST 122ND STREET 10035,FY14,2.2
Q333,GOLDIE MAPLE ACADEMY,3-65 BEACH 56 STREET 11692,FY15,2.1
M154,P.S. 154 HARRIET TUBMAN,250 WEST 127 STREET 10027,FY15,2.1
X207,P.S. 207,3030 GODWIN TERRACE 10463,FY15,2.1
K224,P.S. 224 HALE A. WOODRUFF,757 WORTMAN AVENUE 11208,FY15,2.1
X018,P.S. 018 JOHN PETER ZENGER,502 MORRIS AVENUE 10451,FY15,2
X065,P.S. 065 MOTHER HALE ACADEMY,677 EAST 141 STREET 10454,FY15,2
K216,P.S. 216 ARTURO TOSCANINI,350 AVENUE X 11223,FY15,2
Q040,P.S. 040 SAMUEL HUNTINGTON,109-20 UNION HALL STREET 11433,FY15,1.9
K196,P.S. 196 TEN EYCK,207 BUSHWICK AVENUE 11206,FY15,1.9
K289,P.S. 289 GEORGE V. BROWER,900 ST MARKS AVENUE 11213,FY15,1.9
