Site ID,DBN,Site Name,Street Address,City,State,Zip Code,ECERS Most Recent Assessment Year,ECERS Observation Average Score
MAVS,04M700,"BOYS & GIRLS HARBOR, INC.",1 EAST 104TH STREET,New York,NY,10029,FY13,2.8
KBPB,18K700,BREUKELEN EARLY CHILDHOOD DEVELOPMENT CENTER,717 EAST 105TH STREET,New York,NY,11236,FY14,4.1
KBPI,18K700,BREUKELEN HEAD START,715 EAST 105TH STREET,New York,NY,11236,FY14,4.1
KASC,16K700,BREVOORT CHILDREN'S CENTER,250 RALPH AVENUE,New York,NY,11233,FY15,5.2
QBHS,28Q700,BRIGHT KIDS DAY CARE,108-42 SUTPHIN BOULEVARD,New York,NY,11435,FY15,4
K627,16K627,BRIGHTER CHOICE COMMUNITY SCHOOL,280 HART STREET,New York,NY,11206,FY15,4.6
XART,07X700,BRIGHTSIDE ACADEMY,331 EAST 150TH STREET,New York,NY,10451,FY15,3.2
KBTB,19K700,BRIGHTSIDE ACADEMY - BARBEY,683 BARBEY STREET,New York,NY,11207,FY14,3.8
KBTC,23K700,BRIGHTSIDE ACADEMY - BELMONT,50 BELMONT AVENUE,New York,NY,11212,FY14,3.8
KBTE,32K700,BRIGHTSIDE ACADEMY - BROADWAY,1491 BROADWAY,New York,NY,11221,FY14,3.5
KBXK,17K700,BRIGHTSIDE ACADEMY - CLARKSON,210 CLARKSON AVENUE,New York,NY,11226,FY14,3.7
KBTH,16K700,BRIGHTSIDE ACADEMY - DEKALB AVE,844 DEKALB AVENUE,New York,NY,11221,FY14,2.8
XAWZ,08X700,BRIGHTSIDE ACADEMY - INTERVALE,960 INTERVALE AVENUE,New York,NY,10459,FY15,3.6
XAJF,12X700,BRIGHTSIDE ACADEMY - LOUIS NINE,1336 LOUIS NINE BOULEVARD,New York,NY,10459,FY15,2.7
XAJG,12X700,BRIGHTSIDE ACADEMY - SOUTHERN,1093 SOUTHERN BOULEVARD,New York,NY,10459,FY14,3.9
XAVZ,12X700,BRIGHTSIDE ACADEMY - SOUTHERN 2,1778 SOUTHERN BOULEVARD,New York,NY,10460,FY15,3.4
XAJK,07X700,BRIGHTSIDE ACADEMY - ST. ANN'S,780 ST ANNS AVE,New York,NY,10456,FY14,2.6
XAMA,11X700,BRIGHTSIDE ACADEMY - WHITE PLAINS #2,3942 WHITE PLAINS ROAD,New York,NY,10466,FY14,4.2
XATD,10X700,BRONX COMMUNITY COLLEGE EARLY CHILDHOOD CENTER,2010 SEDGWICK,New York,NY,10468,FY14,5.8
X392,08X392,BRONX DELTA SCHOOL,650 HOLLYWOOD AVENUE,New York,NY,10465,FY15,4.1
XAJD,12X700,BRONX EARLY CHILDHOOD CENTER,1515 SOUTHERN BOULEVARD,New York,NY,10460,FY14,2.9
XARD,09X700,BRONX EARLY LEARNING CENTER,1887 BATHGATE AVENUE,New York,NY,10457,FY15,4.2
X691,12X691,BRONX LITTLE SCHOOL,1827 ARCHER STREET,New York,NY,10460,FY15,4.3
XAKE,12X700,BRONX RIVER EARLY LEARN CENTER,1555 EAST 174TH STREET,New York,NY,10472,FY13,3.7
XAAS,08X700,BRONXDALE NURSERY,1065 BEACH AVENUE,New York,NY,10472,FY15,4.4
XAUZ,09X700,BRONXWORKS,1472 MONTGOMERY AVENUE,New York,NY,10453,FY14,2.6
XAOD,09X700,BRONXWORKS,1130 GRAND CONCOURSE,New York,NY,10456,FY15,3.7
K414,14K414,BROOKLYN ARBOR ELEMENTARY SCHOOL,325 SOUTH 3 STREET,New York,NY,11211,FY14,4.5
K705,17K705,BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,443 ST MARKS AVENUE,New York,NY,11238,FY13,3.8
K628,16K628,BROOKLYN BROWNSTONE SCHOOL,272 MACDONOUGH STREET,New York,NY,11233,FY13,4.3
KBPO,20K700,"BROOKLYN CHILD CARE, INC.",800 POLY PLACE BUILDING 2,New York,NY,11209,FY15,4.5
KCGR,15K700,BROOKLYN CHINESE AMERICAN ASSOCIATION,4116 8TH AVENUE,New York,NY,11232,FY15,3.8
KBUL,20K700,BROOKLYN CHINESE AMERICAN ASSOCIATION,6409 20 AVENUE,New York,NY,11204,FY14,3.7
KBUJ,15K700,BROOKLYN CHINESE AMERICAN ASSOCIATION - BAY RIDGE DCC,4202 8TH AVENUE,New York,NY,11232,FY15,3.9
KCEB,20K700,BROOKLYN CHINESE-AMERICAN ASSOCIATION,871 50TH STREET,New York,NY,11220,FY14,2.9
KBMM,20K700,BROOKLYN CHINESE-AMERICAN ASSOCIATION,812 54TH STREET,New York,NY,11220,FY14,4.1
KBEQ,19K700,BROOKLYN DEVELOPMENTAL CENTER,888 FOUNTAIN AVENUE,New York,NY,11208,FY14,4.8
KCIM,15K700,BROOKLYN EXPLORERS ACADEMY,110 SCHERMERHORN STREET,New York,NY,11201,FY15,4.1
K557,19K557,BROOKLYN GARDENS ELEMENTARY SCHOOL,574 DUMONT AVENUE,New York,NY,11207,FY15,4.8
K599,23K599,BROOKLYN LANDMARK ELEMENTARY SCHOOL,251 MCDOUGAL STREET,New York,NY,11233,FY15,4.1
KBYN,15K700,BUMBLE BEES R US 2,76 LORRAINE STREET,New York,NY,11231,FY14,2.6
KBUM,22K700,BUMBLE BEES R US 3,2813 FARRAGUT ROAD,New York,NY,11210,FY14,4.2
KBYQ,20K700,BUMBLE BEES R US 8,4301 10TH AVENUE,New York,NY,11219,FY14,3.4
KCKB,14K700,BUSHWICK UNITED DEVELOPMENT FUND,243 SOUTH 2ND STREET,New York,NY,11211,FY15,4.9
KAZT,32K700,BUSHWICK UNITED HDFC 1,136 STANHOPE STREET,New York,NY,11221,FY15,4.4
KBSA,32K700,BUSHWICK UNITED HDFC 2,77 WILSON AVENUE,New York,NY,11237,FY15,3.1
KBRZ,32K700,BUSHWICK UNITED HDFC 3,331 CENTRAL AVENUE,New York,NY,11221,FY13,5.1
KBLW,14K700,BUSHWICK UNITED HDFC 4,178 LEONARD STREET,New York,NY,11206,FY14,4.8
KBJN,14K700,BUSHWICK UNITED HDFC 5,152 MANHATTAN AVENUE,New York,NY,11206,FY14,4.1
KBES,32K700,BUSHWICK UNITED HDFC 6,200 CENTRAL AVENUE,New York,NY,11221,FY14,3.3
KBRA,32K700,BUSHWICK UNITED HDFC 7,600 HART STREET,New York,NY,11221,FY14,3.5
KBKH,14K700,BUSHWICK UNITED HDFC 9,741 FLUSHING AVENUE,New York,NY,11206,FY14,3.5
RADL,31R700,BUSY BEACH DAY CARE INC.,777 SEAVIEW AVENUE BUILDING 11,New York,NY,10305,FY15,5.5
QASV,24Q700,BWY PRESCHOOL,7714 ROOSEVELT AVENUE,New York,NY,11372,FY13,4.5
XARW,12X700,C.S. 61 EARLY CHILDHOOD,1550 CROTONA PARK EAST,New York,NY,10460,FY15,2.3
QBAC,29Q700,CAMBRIA CENTER FOR THE GIFTED CHILD,233-10 LINDEN BOULEVARD,New York,NY,11411,FY15,5.1
QBIC,29Q700,CAMBRIA HEIGHTS CHRISTAIN ACADEMY,220-12 LINDEN BLVD,New York,NY,11411,FY15,4.6
XAQG,12X700,CARDINAL MCCLOSKEY SERVICES - GROUP CHILD LEARNING CENTER,899 EAST 180TH STREET,New York,NY,10460,FY13,3.8
RADM,31R700,CAS SI FAMILY SERVICES CENTER,465 VILLA AVE,New York,NY,10302,FY15,4.1
M513,06M513,CASTLE BRIDGE SCHOOL,560 WEST 169 STREET,New York,NY,10032,FY14,2.9
RAFH,31R700,"CASTLE DAY CARE II, INC.",211 CANAL STREET,New York,NY,10304,FY14,2.8
QBGW,30Q700,CATHOLIC CHARITIES AT RAVENSWOOD (ANDREW LANDI),2120 35TH AVENUE,New York,NY,11106,FY14,4.5
MBGQ,02M700,CCLC AT 4 NY PLAZA,4 NEWYORK PLAZA SUITE 104,New York,NY,10004,FY15,4
MBHH,02M700,CENTER ANNEX (TIBECA EARLY CHILDHOOD CENTER),21 ST. JOHN'S LANE,New York,NY,10013,FY15,3.8
QATE,29Q700,CENTER OF EXCELLENCE SPRINGFIELD GARDENS PRESCHOOL,127-08 MERRICK BLVD.,New York,NY,11434,FY15,4.1
M964,04M964,CENTRAL PARK EAST II,19 EAST 103 STREET,New York,NY,10029,FY13,3.8
QAUK,26Q700,CHABAD EARLY LEARNING CENTER,21212 26TH AVENUE,New York,NY,11360,FY15,4.4
QAPM,28Q700,CHARLES R DREW ELC 3,16515 ARCHER AVENUE,New York,NY,11433,FY14,5
KBSL,22K700,CHARLES R DREW ELC 5,2804 GLENWOOD ROAD,New York,NY,11210,FY14,4.3
KBMO,15K700,CHICK PEAS CHILD CARE,451 7TH AVENUE,New York,NY,11215,FY14,4.2
KBWD,32K700,CHILD PRODIGY LEARNING INC.,1001 BROADWAY,New York,NY,11221,FY15,2.2
XAJU,12X700,CHILDREN'S AID AT P.S. 211,1919 PROSPECT AVENUE,New York,NY,10457,FY14,3.1
MAUJ,04M700,CHILDREN'S AID AT P.S. 50,433 EAST 100TH STREET,New York,NY,10029,FY14,4.2
MAUK,06M700,CHILDREN'S AID SOCIETY,93 NAGLE AVENUE,New York,NY,10040,FY14,3.6
RACS,31R700,CHILDREN'S AID SOCIETY RICHMOND EARLY LEARNING CENTER,159 BROADWAY,New York,NY,10310,FY14,3.9
XAMV,07X700,CHILDREN'S PRIDE,414 MORRIS AVENUE,New York,NY,10451,FY14,4.8
QABC,24Q700,CHRIST THE KING COMMUNITY PRESCHOOL,6802 METROPOLITAN AVENUE,New York,NY,11379,FY13,4.4
XAAX,09X700,CHRIST THE KING SCHOOL,1345 GRAND CONCOURSE,New York,NY,10452,FY14,4
K401,23K401,CHRISTOPHER AVENUE COMMUNITY SCHOOL,51 CHRISTOPHER AVENUE,New York,NY,11212,FY13,3.5
MAUM,02M700,CHUNG PAK DAY CARE CENTER,"125 WALKER STREET, 3RD FLOOR",New York,NY,10013,FY14,3.8
MAWZ,05M700,CITIZENS CARE DCC 3,3240 BROADWAY,New York,NY,10027,FY13,5
KCJF,18K700,CLARKSON EARLY CHILDHOOD CENTER,8801 GLENWOOD RD,New York,NY,11236,FY15,4
QAXF,29Q700,COMMITTEE FOR EARLY CHILDHOOD DEVELOPMENT,193-04 JAMAICA AVENUE,New York,NY,11423,FY14,3.9
QBGJ,29Q700,COMMITTEE FOR EARLY CHILDHOOD DEVELOPMENT DAY CARE CENTER,193-25 JAMAICA AVENUE,New York,NY,11423,FY14,3.3
QARO,27Q700,COMMITTEE FOR EARLY CHILDHOOD DEVELOPMENT HEAD START 2,11721 SUTPHIN BOULEVARD,New York,NY,11434,FY14,5.1
QAVD,27Q700,COMMUNITY AND FAMILY HEAD START,4105 BEACH CHANNEL DRIVE,New York,NY,11691,FY15,3.7
QAUL,26Q700,COMMUNITY CHURCH OF DOUGLASTON,3950 DOUGLASTON PARKWAY,New York,NY,11363,FY14,4.7
MASN,04M700,COMMUNITY LIFE CENTER 1,221 EAST 122 STREET,New York,NY,10035,FY14,3.9
MBBG,05M700,COMMUNITY LIFE CENTER 2,15 MT MORRIS PARK WEST,New York,NY,10027,FY15,4.8
QBAJ,25Q700,COMMUNITY NURSERY SCHOOL COTH,167-07 35TH AVENUE,New York,NY,11358,FY15,4.9
KBNP,16K700,COMMUNITY PARENTS HEAD START,90 CHAUNCEY STREET,New York,NY,11233,FY15,3.7
KBLJ,17K700,"COMMUNITY PARENTS, INC.",60 EAST 93RD STREET,New York,NY,11212,FY15,4
QAPK,28Q700,CONCERNED PARENTS OF JAMAICA EARLY LEARNING CENTER,143-04 101ST AVENUE,New York,NY,11435,FY14,4.9
XAJB,10X700,"CONCOURSE HOUSE, HDFC",2348 WEBSTER AVE,New York,NY,10458,FY14,4.1
X359,07X359,CONCOURSE VILLAGE ELEMENTARY SCHOOL,750 CONCOURSE VILLAGE WEST,New York,NY,10451,FY15,2.3
KBJF,14K700,COOPER PARK CHILD CARE CENTER,292 FROST STREET,New York,NY,11222,FY14,3.6
KCJZ,22K700,COPO PREK PROGRAM,1083 CONEY ISLAND AVE,New York,NY,11230,FY15,3.6
X189,11X189,CORNERSTONE ACADEMY FOR SOCIAL ACTION,3441 STEENWICK AVENUE,New York,NY,10475,FY13,4
KAZZ,16K700,CORNERSTONE DAY CARE CENTER,289 LEWIS AVENUE,New York,NY,11221,FY15,4.5
XAQL,11X700,CORRY ACADEMY,4321 BARNES AVENUE,New York,NY,10466,FY14,4.7
QBIE,24Q700,CPC CORONA QUEENS UPK,47-05 104TH ST,New York,NY,11368,FY15,5.3
QAVF,27Q700,CUOMO FIRST STEP,11515 101ST AVE,New York,NY,11419,FY14,5
KBDC,19K700,CYPRESS HILLS CCC,108 PINE STREET,New York,NY,11208,FY14,3.8
MAQM,04M700,DAWNING VILLAGE TOO,2211 FIRST AVENUE,New York,NY,10029,FY15,4.5
QAVE,27Q700,DE ANNA LEARNING CENTER,9140 120TH STREET,New York,NY,11418,FY15,4.4
QAKQ,24Q700,DENIZKO DCC,51-07 69TH STREET,New York,NY,11377,FY13,4.2
MATO,01M700,DEWITT REFORMED CHURCH HEAD START,280 RIVINGTON STREET,New York,NY,10002,FY15,2.8
KCHX,21K700,DEZZENTERPRISE LLC,3524 NEPTUNE AVENUE,New York,NY,11224,FY15,3.1
QBJX,26Q700,DIVINE WISDOM CATHOLIC ACADEMY,56-10 214TH STREET,New York,NY,11364,FY15,4.9
QBBF,26Q700,DIVINE WISDOM CATHOLIC ACADEMY DOUGLASTON,45-11 245TH STREET,New York,NY,11363,FY15,4.7
K012,17K012,DR. JACQUELINE PEEK-DAVIS SCHOOL,430 HOWARD AVENUE,New York,NY,11233,FY13,4.3
XAHL,12X700,E BRONX DAY CARE CENTER,1113 COLGATE AVENUE,New York,NY,10472,FY13,4.7
MAWH,04M700,E HARLEM CHS BILINGUAL HEAD START - 111TH,30 EAST 111TH STREET,New York,NY,10029,FY15,4.2
QALP,29Q700,EARLY SUNRISE PRESCHOOL,18708 HILLSIDE AVENUE,New York,NY,11432,FY13,2.4
QASI,29Q700,"EARLY SUNRISE PRESCHOOL AND KINDERGARTEN, INC.",187-10 HILLSIDE AVENUE,New York,NY,11432,FY13,3
M364,01M364,EARTH SCHOOL,600 EAST 6 STREET,New York,NY,10009,FY13,3.1
MAVR,03M700,EAST CALVARY DCC,1 WEST 112TH STREET,New York,NY,10026,FY13,4.4
MASK,04M700,EAST HARLEM CENTER,130 EAST 101ST STREET,New York,NY,10029,FY14,4.2
MAWG,04M700,EAST HARLEM COUNCIL FOR HUMAN SERVICES BILINGUAL HEAD START PROGRAM,440 EAST 116TH STREET,New York,NY,10029,FY15,4.6
K677,19K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,605 SHEPHERD AVENUE,New York,NY,11208,FY13,4.4
XAFP,07X700,EAST SIDE HOUSE,201 SAINT ANNS AVENUE,New York,NY,10454,FY14,3.5
XAMT,07X700,EAST SIDE HOUSE,375 EAST 143RD STREET,New York,NY,10454,FY13,3.7
XAMW,07X700,EAST SIDE HOUSE,200 ALEXANDER AVENUE,New York,NY,10454,FY15,3.7
XAJT,12X700,EAST TREMONT CHILD CARE AND DEVELOPMENT CENTER,1811 CROTONA AVENUE,New York,NY,10457,FY15,4.2
MAXC,05M700,ECDO CHILD START CENTER,249 WEST 144TH STREET,New York,NY,10030,FY15,3.6
MAUA,01M700,EDUCATION ALLIANCE - E BROADWAY,197 EAST BROADWAY,New York,NY,10002,FY15,4.4
KASG,17K700,EDWARDS L. CLEAVELAND,1185 PARK PLACE,New York,NY,11213,FY15,3.3
